,Tree_code,size,Species,Year,DriestQPRCP,WettestMonthPRCP,DriestMonthPRCP,TotalPRCP,HottestMonthTMAX,HottestMonthTAVG,CoolestMonthTAVG,CoolestMonthTMIN,TotalAnnualTemperature,PRCP_Seasonality,HEAT_Seasonality,COOL_Seasonality,Ca,Ci
74,ax101,27,Afzelia_xylocarpa,1985,27,270,0,1198,38.8,31.6,24,18.3,336.4,0.022537563,0.093935791,0.071343639,345.7,174.8868557
75,ax101,8,Afzelia_xylocarpa,1966,91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.064174894,0.093124456,0.076008123,321.2,192.7821955
76,ax102,27,Afzelia_xylocarpa,1984,26,233,0,887,38.3,31.3,24.1,17.7,335,0.029312289,0.093432836,0.071940299,344.3,212.443026
77,ax102,8,Afzelia_xylocarpa,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,202.9305454
78,CT008,8,Chukrasia_tabularis,1950,19,293,0,1141,38.3,31.5,23.5,16.9,340.5,0.01665206,0.092511013,0.069016153,312,212.0371366
79,CT009,8,Chukrasia_tabularis,1960,1,179,0,886,39.3,33,24.2,17.4,344.6,0.001128668,0.095763204,0.070226349,316.8,187.9210708
80,CT010,8,Chukrasia_tabularis,1968,76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.085682074,0.089841456,0.071931885,322.9,221.3270811
81,CT014,8,Chukrasia_tabularis,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,224.3094558
82,CT017,8,Chukrasia_tabularis,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,234.9273784
83,CT018,8,Chukrasia_tabularis,1965,134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.120829576,0.092810843,0.069239835,319.9,202.4332248
84,CT020,27,Chukrasia_tabularis,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,198.3987536
85,CT020,8,Chukrasia_tabularis,1951,46,319,0,1448,39,32.2,24.8,17.6,341.5,0.031767956,0.094289898,0.072620791,312.4,214.4541039
86,CT022,27,Chukrasia_tabularis,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,207.5180967
87,CT023,27,Chukrasia_tabularis,1990,74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.070678128,0.092759523,0.072404769,354,203.5493389
88,CT025,27,Chukrasia_tabularis,1956,40,240,0,1349,37.1,30.5,23,14.5,326.7,0.029651594,0.093357821,0.070400979,314.6,189.7895333
89,CT026,27,Chukrasia_tabularis,1964,33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.022510232,0.095435685,0.069353883,319.4,200.4798284
90,CT027,27,Chukrasia_tabularis,1948,41,250,0,1159,37.2,30.6,24.4,16.6,339.1,0.035375324,0.090238868,0.071955175,311.3,184.0207257
91,CT028,8,Chukrasia_tabularis,1958,89,291,0,901,38.5,32.1,23.5,15.7,340.8,0.098779134,0.094190141,0.068955399,315.7,217.4839853
92,CT029,27,Chukrasia_tabularis,2003,89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.080035971,0.093601896,0.072274882,375.7741667,217.5997249
93,CT029,8,Chukrasia_tabularis,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,208.5252028
94,CT030,27,Chukrasia_tabularis,1968,76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.085682074,0.089841456,0.071931885,322.9,193.6208431
95,CT030,8,Chukrasia_tabularis,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,220.1330754
96,CT031,27,Chukrasia_tabularis,1996,169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700691,0.091318714,0.071793331,362.5875,220.8166755
97,CT031,8,Chukrasia_tabularis,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,189.4165826
98,CT032,27,Chukrasia_tabularis,1948,41,250,0,1159,37.2,30.6,24.4,16.6,339.1,0.035375324,0.090238868,0.071955175,311.3,195.1680018
99,CT034,27,Chukrasia_tabularis,1987,76,338,0,1123,38.6,31.5,22,16.2,340.1,0.067675868,0.092619818,0.064686857,348.8,211.366359
100,CT035,8,Chukrasia_tabularis,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,214.9932868
101,CT036,8,Chukrasia_tabularis,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,218.0379774
102,CT038,8,Chukrasia_tabularis,1974,13,270,0,1116,37,31.3,25.1,17.2,338.6,0.011648746,0.092439457,0.074128766,330.1,231.1406522
103,CT040,8,Chukrasia_tabularis,1987,76,338,0,1123,38.6,31.5,22,16.2,340.1,0.067675868,0.092619818,0.064686857,348.8,232.4194258
104,CT042,27,Chukrasia_tabularis,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,192.3471936
105,CT043,27,Chukrasia_tabularis,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,196.0439095
106,CT043,8,Chukrasia_tabularis,1956,40,240,0,1349,37.1,30.5,23,14.5,326.7,0.029651594,0.093357821,0.070400979,314.6,219.8694674
107,CT044,8,Chukrasia_tabularis,1968,76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.085682074,0.089841456,0.071931885,322.9,209.5064936
108,CT047,8,Chukrasia_tabularis,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,223.4664034
109,CT050,27,Chukrasia_tabularis,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,212.5239756
110,CT050,8,Chukrasia_tabularis,1959,171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417,0.091917129,0.072074701,315.8,220.1633695
111,CT051,8,Chukrasia_tabularis,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,225.0843369
112,CT055,27,Chukrasia_tabularis,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,203.6456903
113,CT055,8,Chukrasia_tabularis,1959,171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417,0.091917129,0.072074701,315.8,195.0988725
114,CT056,8,Chukrasia_tabularis,1948,41,250,0,1159,37.2,30.6,24.4,16.6,339.1,0.035375324,0.090238868,0.071955175,311.3,198.2280181
115,CT057,27,Chukrasia_tabularis,1973,109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829,0.097560976,0.068815331,329.5,195.6488956
116,CT057,8,Chukrasia_tabularis,1951,46,319,0,1448,39,32.2,24.8,17.6,341.5,0.031767956,0.094289898,0.072620791,312.4,197.3728076
117,CT058,8,Chukrasia_tabularis,1984,26,233,0,887,38.3,31.3,24.1,17.7,335,0.029312289,0.093432836,0.071940299,344.3,226.1546997
118,CT059,27,Chukrasia_tabularis,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,201.6749262
