"","size","Species","DriestQPRCP","WettestMonthPRCP","DriestMonthPRCP","TotalPRCP","HottestMonthTMAX","HottestMonthTAVG","CoolestMonthTAVG","CoolestMonthTMIN","TotalAnnualTemperature","PRCP_Seasonality","HEAT_Seasonality","COOL_Seasonality","Ca","Ci"
"153",8,"Melia_azedarach",91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.0641748942172073,0.093124456048738,0.076008123005512,321.2,220.877262238005
"154",27,"Melia_azedarach",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,211.552665246319
"155",8,"Melia_azedarach",13,270,0,1116,37,31.3,25.1,17.2,338.6,0.0116487455197133,0.0924394565859421,0.0741287655050207,330.1,212.23860109541
"156",27,"Melia_azedarach",68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.0561519405450041,0.0942114589486119,0.0732427643236858,335.3,199.817791177104
"157",8,"Melia_azedarach",178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859437751,0.0937313432835821,0.0734328358208955,326.2,197.669592061405
"158",27,"Melia_azedarach",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,225.701448898106
"159",8,"Melia_azedarach",109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829493088,0.0975609756097561,0.068815331010453,329.5,202.103099868726
"160",8,"Melia_azedarach",109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829493088,0.0975609756097561,0.068815331010453,329.5,197.208824606144
"161",27,"Melia_azedarach",68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.0561519405450041,0.0942114589486119,0.0732427643236858,335.3,211.020140836684
"162",27,"Melia_azedarach",64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.0718294051627385,0.0918665886483323,0.0713867758923347,357,216.057866005754
"163",8,"Melia_azedarach",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,222.843197877524
"164",8,"Melia_azedarach",169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700690713738,0.0913187143286272,0.0717933313307299,362.5875,236.282830403482
"165",27,"Melia_azedarach",13,270,0,1116,37,31.3,25.1,17.2,338.6,0.0116487455197133,0.0924394565859421,0.0741287655050207,330.1,207.197541314987
"166",8,"Melia_azedarach",134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.12082957619477,0.0928108426635239,0.0692398350029464,319.9,212.333826252302
"167",27,"Melia_azedarach",68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.0561519405450041,0.0942114589486119,0.0732427643236858,335.3,195.468933907142
"168",8,"Melia_azedarach",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,205.45697192859
"169",27,"Melia_azedarach",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,198.170782177688
"170",8,"Melia_azedarach",167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882831570382,0.0963072378138848,0.0679468242245199,331,192.760258658043
"171",27,"Melia_azedarach",87,376,0,1352,38.3,31.3,23.4,16.5,341.9,0.0643491124260355,0.0915472360339281,0.0684410646387833,312.8,194.136299681256
"172",27,"Melia_azedarach",2,275,0,898,38.3,31,23.6,16.9,335,0.0022271714922049,0.0925373134328358,0.0704477611940299,347,225.964504591977
"173",8,"Melia_azedarach",18,263,0,842,39.4,32.3,23.9,16.9,340,0.0213776722090261,0.095,0.0702941176470588,352.8,226.089634410533
"174",8,"Melia_azedarach",171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417112299,0.0919171286839802,0.0720747009045813,315.8,197.408225344742
"175",27,"Melia_azedarach",27,270,0,1198,38.8,31.6,24,18.3,336.4,0.0225375626043406,0.093935790725327,0.0713436385255648,345.7,215.11705837039
"176",8,"Melia_azedarach",109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829493088,0.0975609756097561,0.068815331010453,329.5,216.018754934807
"177",8,"Melia_azedarach",79,332,0,1629,37.7,31.4,23.9,17.9,335.6,0.0484960098219767,0.0935637663885578,0.0712157330154946,351.3,231.683972907333
