,Grid,LAT,LON
65,65,10.34679325147576,-85.37072476736785
66,66,10.34679325147576,-85.37081678990916
67,67,10.34679325147576,-85.37090881245045
68,68,10.34679325147576,-85.37100083499175
69,69,10.34679325147576,-85.37109285753306
70,70,10.34679325147576,-85.37118488007435
71,71,10.34679325147576,-85.37127690261565
72,72,10.34679325147576,-85.37136892515696
73,73,10.34679325147576,-85.37146094769825
74,74,10.34679325147576,-85.37155297023955
75,75,10.34679325147576,-85.37164499278084
76,76,10.34679325147576,-85.37173701532215
77,77,10.34679325147576,-85.37182903786345
78,78,10.34679325147576,-85.37192106040474
79,79,10.34679325147576,-85.37201308294605
80,80,10.34679325147576,-85.37210510548735
81,81,10.34679325147576,-85.37219712802865
82,82,10.34679325147576,-85.37228915056996
83,83,10.34679325147576,-85.37238117311125
84,84,10.34670122893446,-85.36860824891795
85,85,10.34670122893446,-85.36870027145925
86,86,10.34670122893446,-85.36879229400056
87,87,10.34670122893446,-85.36888431654185
88,88,10.34670122893446,-85.36897633908315
89,89,10.34670122893446,-85.36906836162446
90,90,10.34670122893446,-85.36916038416575
91,91,10.34670122893446,-85.36925240670705
92,92,10.34670122893446,-85.36934442924836
93,93,10.34670122893446,-85.36943645178965
94,94,10.34670122893446,-85.36952847433095
95,95,10.34670122893446,-85.36962049687224
96,96,10.34670122893446,-85.36971251941355
97,97,10.34670122893446,-85.36980454195485
98,98,10.34670122893446,-85.36989656449614
99,99,10.34670122893446,-85.36998858703745
100,100,10.34670122893446,-85.37008060957875
101,101,10.34670122893446,-85.37017263212005
102,102,10.34670122893446,-85.37026465466136
103,103,10.34670122893446,-85.37035667720265
104,104,10.34670122893446,-85.37044869974395
105,105,10.34670122893446,-85.37054072228526
106,106,10.34670122893446,-85.37063274482655
107,107,10.34670122893446,-85.37072476736785
108,108,10.34670122893446,-85.37081678990916
109,109,10.34670122893446,-85.37090881245045
110,110,10.34670122893446,-85.37100083499175
111,111,10.34670122893446,-85.37109285753306
112,112,10.34670122893446,-85.37118488007435
113,113,10.34670122893446,-85.37127690261565
114,114,10.34670122893446,-85.37136892515696
115,115,10.34670122893446,-85.37146094769825
116,116,10.34670122893446,-85.37155297023955
117,117,10.34670122893446,-85.37164499278084
118,118,10.34670122893446,-85.37173701532215
119,119,10.34670122893446,-85.37182903786345
120,120,10.34670122893446,-85.37192106040474
121,121,10.34670122893446,-85.37201308294605
122,122,10.34670122893446,-85.37210510548735
123,123,10.34670122893446,-85.37219712802865
124,124,10.34670122893446,-85.37228915056996
125,125,10.34670122893446,-85.37238117311125
126,126,10.34660920639316,-85.36860824891795
127,127,10.34660920639316,-85.36870027145925
128,128,10.34660920639316,-85.36879229400056
129,129,10.34660920639316,-85.36888431654185
130,130,10.34660920639316,-85.36897633908315
131,131,10.34660920639316,-85.36906836162446
132,132,10.34660920639316,-85.36916038416575
133,133,10.34660920639316,-85.36925240670705
134,134,10.34660920639316,-85.36934442924836
135,135,10.34660920639316,-85.36943645178965
136,136,10.34660920639316,-85.36952847433095
137,137,10.34660920639316,-85.36962049687224
138,138,10.34660920639316,-85.36971251941355
139,139,10.34660920639316,-85.36980454195485
140,140,10.34660920639316,-85.36989656449614
141,141,10.34660920639316,-85.36998858703745
142,142,10.34660920639316,-85.37008060957875
143,143,10.34660920639316,-85.37017263212005
144,144,10.34660920639316,-85.37026465466136
145,145,10.34660920639316,-85.37035667720265
146,146,10.34660920639316,-85.37044869974395
147,147,10.34660920639316,-85.37054072228526
148,148,10.34660920639316,-85.37063274482655
149,149,10.34660920639316,-85.37072476736785
150,150,10.34660920639316,-85.37081678990916
151,151,10.34660920639316,-85.37090881245045
152,152,10.34660920639316,-85.37100083499175
153,153,10.34660920639316,-85.37109285753306
154,154,10.34660920639316,-85.37118488007435
155,155,10.34660920639316,-85.37127690261565
156,156,10.34660920639316,-85.37136892515696
157,157,10.34660920639316,-85.37146094769825
158,158,10.34660920639316,-85.37155297023955
159,159,10.34660920639316,-85.37164499278084
160,160,10.34660920639316,-85.37173701532215
161,161,10.34660920639316,-85.37182903786345
162,162,10.34660920639316,-85.37192106040474
163,163,10.34660920639316,-85.37201308294605
164,164,10.34660920639316,-85.37210510548735
165,165,10.34660920639316,-85.37219712802865
166,166,10.34660920639316,-85.37228915056996
167,167,10.34660920639316,-85.37238117311125
168,168,10.34651718385186,-85.36860824891795
